location1,lat1,lon1,location2,lat2,lon2,count
"Irvine, CA",33.6856969,-117.8259818,"Los Angeles, CA",34.0543942,-118.2439408,268
"Chicago, IL",41.8755546,-87.6244211,"Philadelphia, PA",39.9523993,-75.1635898,266
"Baltimore, MD",39.2908608,-76.6108072,"Stanford, CA",37.4265649,-122.170187551249,262
"Atlanta, GA",33.7490987,-84.3901848,"Chicago, IL",41.8755546,-87.6244211,260
"New York, NY",40.7305991,-73.9865811,"Orangeburg, NY",41.0465776,-73.9496706,260
"La Jolla, CA",32.8472711,-117.2742085,"New Haven, CT",41.3082138,-72.9250517,260
"Chicago, IL",41.8755546,-87.6244211,"Saint Louis, MO",38.6272733,-90.1978888,260
"Durham, NC",35.9940329,-78.8986189,"La Jolla, CA",32.8472711,-117.2742085,258
"Gainesville, FL",29.651907,-82.3247975,"New York, NY",40.7305991,-73.9865811,256
"Houston, TX",29.7589382,-95.3676973,"La Jolla, CA",32.8472711,-117.2742085,252
"Boston, MA",42.3604823,-71.0595677,"Indianapolis, IN",39.7683331,-86.1583501,250
"Atlanta, GA",33.7490987,-84.3901848,"Los Angeles, CA",34.0543942,-118.2439408,250
"Los Angeles, CA",34.0543942,-118.2439408,"New Haven, CT",41.3082138,-72.9250517,248
"Chicago, IL",41.8755546,-87.6244211,"Durham, NC",35.9940329,-78.8986189,248
"Boston, MA",42.3604823,-71.0595677,"Cleveland, OH",41.5051613,-81.6934445,248
"Boston, MA",42.3604823,-71.0595677,"Irvine, CA",33.6856969,-117.8259818,246
"Madison, WI",43.074761,-89.3837612,"New York, NY",40.7305991,-73.9865811,244
"Irvine, CA",33.6856969,-117.8259818,"New York, NY",40.7305991,-73.9865811,244
"La Jolla, CA",32.8472711,-117.2742085,"Saint Louis, MO",38.6272733,-90.1978888,244
"Atlanta, GA",33.7490987,-84.3901848,"La Jolla, CA",32.8472711,-117.2742085,242
"Boston, MA",42.3604823,-71.0595677,"Nashville, TN",36.1622296,-86.774353,242
"Chicago, IL",41.8755546,-87.6244211,"Stanford, CA",37.4265649,-122.170187551249,240
"Ann Arbor, MI",42.2681569,-83.731229,"Bethesda, MD",38.9848265,-77.0946458,240
"Boston, MA",42.3604823,-71.0595677,"Davis, CA",38.545379,-121.7445834,238
"Irvine, CA",33.6856969,-117.8259818,"La Jolla, CA",32.8472711,-117.2742085,238
"Baltimore, MD",39.2908608,-76.6108072,"New Haven, CT",41.3082138,-72.9250517,238
"Philadelphia, PA",39.9523993,-75.1635898,"San Francisco, CA",37.7792808,-122.4192362,236
"Chicago, IL",41.8755546,-87.6244211,"New Haven, CT",41.3082138,-72.9250517,236
"Boston, MA",42.3604823,-71.0595677,"Tempe, AZ",33.4144139,-111.9094473,230
"Bethesda, MD",38.9848265,-77.0946458,"Dallas, TX",32.7762719,-96.7968558,224
"Baltimore, MD",39.2908608,-76.6108072,"Saint Louis, MO",38.6272733,-90.1978888,222
"Los Angeles, CA",34.0543942,-118.2439408,"Pittsburgh, PA",40.4416941,-79.990086,222
"Philadelphia, PA",39.9523993,-75.1635898,"Pittsburgh, PA",40.4416941,-79.990086,222
"Durham, NC",35.9940329,-78.8986189,"Philadelphia, PA",39.9523993,-75.1635898,220
"Chicago, IL",41.8755546,-87.6244211,"Pittsburgh, PA",40.4416941,-79.990086,220
"Baltimore, MD",39.2908608,-76.6108072,"Houston, TX",29.7589382,-95.3676973,220
"Atlanta, GA",33.7490987,-84.3901848,"Baltimore, MD",39.2908608,-76.6108072,218
"Bethesda, MD",38.9848265,-77.0946458,"Seattle, WA",47.6038321,-122.3300623,218
"Houston, TX",29.7589382,-95.3676973,"Saint Louis, MO",38.6272733,-90.1978888,216
"Houston, TX",29.7589382,-95.3676973,"Los Angeles, CA",34.0543942,-118.2439408,214
"Nashville, TN",36.1622296,-86.774353,"New York, NY",40.7305991,-73.9865811,214
"Bethesda, MD",38.9848265,-77.0946458,"Madison, WI",43.074761,-89.3837612,212
"New York, NY",40.7305991,-73.9865811,"Tempe, AZ",33.4144139,-111.9094473,212
"Los Angeles, CA",34.0543942,-118.2439408,"Saint Louis, MO",38.6272733,-90.1978888,210
"Philadelphia, PA",39.9523993,-75.1635898,"Saint Louis, MO",38.6272733,-90.1978888,208
"Chicago, IL",41.8755546,-87.6244211,"Houston, TX",29.7589382,-95.3676973,206
"Philadelphia, PA",39.9523993,-75.1635898,"Stanford, CA",37.4265649,-122.170187551249,206
"Ann Arbor, MI",42.2681569,-83.731229,"Chicago, IL",41.8755546,-87.6244211,204
"La Jolla, CA",32.8472711,-117.2742085,"Pittsburgh, PA",40.4416941,-79.990086,202
"New Haven, CT",41.3082138,-72.9250517,"Philadelphia, PA",39.9523993,-75.1635898,202
"Los Angeles, CA",34.0543942,-118.2439408,"Seattle, WA",47.6038321,-122.3300623,200
"Houston, TX",29.7589382,-95.3676973,"Philadelphia, PA",39.9523993,-75.1635898,200
"Atlanta, GA",33.7490987,-84.3901848,"Philadelphia, PA",39.9523993,-75.1635898,198
"Baltimore, MD",39.2908608,-76.6108072,"Gainesville, FL",29.651907,-82.3247975,194
"Bethesda, MD",38.9848265,-77.0946458,"Princeton, NJ",40.3492744,-74.6592957,194
"Minneapolis, MN",44.9772995,-93.2654691,"New York, NY",40.7305991,-73.9865811,192
"Durham, NC",35.9940329,-78.8986189,"Stanford, CA",37.4265649,-122.170187551249,192
"Los Angeles, CA",34.0543942,-118.2439408,"Madison, WI",43.074761,-89.3837612,192
"La Jolla, CA",32.8472711,-117.2742085,"Seattle, WA",47.6038321,-122.3300623,190
"Baltimore, MD",39.2908608,-76.6108072,"Seattle, WA",47.6038321,-122.3300623,188
"Ann Arbor, MI",42.2681569,-83.731229,"La Jolla, CA",32.8472711,-117.2742085,188
"Baltimore, MD",39.2908608,-76.6108072,"Dallas, TX",32.7762719,-96.7968558,188
"Davis, CA",38.545379,-121.7445834,"New York, NY",40.7305991,-73.9865811,188
"Austin, TX",30.2711286,-97.7436994,"Boston, MA",42.3604823,-71.0595677,188
"Boston, MA",42.3604823,-71.0595677,"Portland, OR",45.5202471,-122.6741948,186
"Baltimore, MD",39.2908608,-76.6108072,"Princeton, NJ",40.3492744,-74.6592957,186
"Durham, NC",35.9940329,-78.8986189,"San Francisco, CA",37.7792808,-122.4192362,186
"Bethesda, MD",38.9848265,-77.0946458,"Gainesville, FL",29.651907,-82.3247975,186
"Boston, MA",42.3604823,-71.0595677,"Urbana, IL",40.1117174,-88.2073009,186
"Ann Arbor, MI",42.2681569,-83.731229,"Los Angeles, CA",34.0543942,-118.2439408,186
"Houston, TX",29.7589382,-95.3676973,"San Francisco, CA",37.7792808,-122.4192362,184
"Bethesda, MD",38.9848265,-77.0946458,"Nashville, TN",36.1622296,-86.774353,182
"Philadelphia, PA",39.9523993,-75.1635898,"Seattle, WA",47.6038321,-122.3300623,182
"Saint Louis, MO",38.6272733,-90.1978888,"San Francisco, CA",37.7792808,-122.4192362,180
"Atlanta, GA",33.7490987,-84.3901848,"San Francisco, CA",37.7792808,-122.4192362,178
"Chicago, IL",41.8755546,-87.6244211,"Seattle, WA",47.6038321,-122.3300623,176
"Ann Arbor, MI",42.2681569,-83.731229,"Baltimore, MD",39.2908608,-76.6108072,176
"Bethesda, MD",38.9848265,-77.0946458,"Minneapolis, MN",44.9772995,-93.2654691,176
"La Jolla, CA",32.8472711,-117.2742085,"Princeton, NJ",40.3492744,-74.6592957,176
