location1,lat1,lon1,location2,lat2,lon2,count
"Bethesda, MD",38.9848265,-77.0946458,"Vancouver, BC, Canada",49.2608944,-123.1139382,152
"Baltimore, MD",39.2908608,-76.6108072,"Toronto, ON, Canada",43.6529206,-79.3849007,152
"Baltimore, MD",39.2908608,-76.6108072,"Princeton, NJ",40.3492744,-74.6592957,152
"Indianapolis, IN",39.7683331,-86.1583501,"New York, NY",40.7305991,-73.9865811,152
"Bethesda, MD",38.9848265,-77.0946458,"Tokyo, Japan",34.2255804,139.294774527387,150
"Bethesda, MD",38.9848265,-77.0946458,"Minneapolis, MN",44.9772995,-93.2654691,150
"Iowa City, IA",41.6612561,-91.5299105,"New York, NY",40.7305991,-73.9865811,150
"Minneapolis, MN",44.9772995,-93.2654691,"New York, NY",40.7305991,-73.9865811,150
"Beijing, China",39.9059631,116.391248,"Stanford, CA",37.4265649,-122.170187551249,150
"Houston, TX",29.7589382,-95.3676973,"San Francisco, CA",37.7792808,-122.4192362,150
"New York, NY",40.7305991,-73.9865811,"Urbana, IL",40.1117174,-88.2073009,150
"Chicago, IL",41.8755546,-87.6244211,"Tempe, AZ",33.4144139,-111.9094473,150
"Atlanta, GA",33.7490987,-84.3901848,"Philadelphia, PA",39.9523993,-75.1635898,150
"Bethesda, MD",38.9848265,-77.0946458,"Dallas, TX",32.7762719,-96.7968558,148
"Philadelphia, PA",39.9523993,-75.1635898,"Shanghai, China",31.2253441,121.4888922,148
"Los Angeles, CA",34.0543942,-118.2439408,"Tempe, AZ",33.4144139,-111.9094473,148
"Bethesda, MD",38.9848265,-77.0946458,"Tempe, AZ",33.4144139,-111.9094473,148
"Atlanta, GA",33.7490987,-84.3901848,"Beijing, China",39.9059631,116.391248,148
"Ann Arbor, MI",42.2681569,-83.731229,"Baltimore, MD",39.2908608,-76.6108072,148
"Chicago, IL",41.8755546,-87.6244211,"Urbana, IL",40.1117174,-88.2073009,146
"London, United Kingdom",51.5073219,-0.1276473,"Los Angeles, CA",34.0543942,-118.2439408,146
"Beijing, China",39.9059631,116.391248,"New Haven, CT",41.3082138,-72.9250517,146
"La Jolla, CA",32.8472711,-117.2742085,"Vancouver, BC, Canada",49.2608944,-123.1139382,146
"Houston, TX",29.7589382,-95.3676973,"Shanghai, China",31.2253441,121.4888922,146
"Philadelphia, PA",39.9523993,-75.1635898,"Stanford, CA",37.4265649,-122.170187551249,146
"Boston, MA",42.3604823,-71.0595677,"Tallahassee, FL",30.4380832,-84.2809331,146
"Boston, MA",42.3604823,-71.0595677,"Rochester, NY",43.1572851,-77.615214,146
"Fukuoka, Japan",33.6251241,130.6180016,"Tokyo, Japan",34.2255804,139.294774527387,146
"Chicago, IL",41.8755546,-87.6244211,"Toronto, ON, Canada",43.6529206,-79.3849007,146
